// 中医药典
阿胶	e'jiao
阿魏	a'wei
阿魏化痞膏	a'wei'hua'pi'gao
矮地茶	ai'di'cha
艾附暖宫丸	ai'fu'nuan'gong'wan
艾叶	ai'ye
安坤赞育丸	an'kun'zan'yu'wan
八角茴香	ba'jiao'hui'xiang
八角茴香油	ba'jiao'hui'xiang'you
八正合剂	ba'zheng'he'ji
白扁豆	bai'bian'dou
白芍	bai'shao
白术	bai'zhu
柏子仁	bai'zi'ren
柏子养心丸	bai'zi'yang'xin'wan
百合	bai'he
百合固金丸	bai'he'gu'jin'wan
浓缩丸	nong'suo'wan
薄荷	bo'he
薄荷脑	bo'hen'ao
薄荷素油	bo'he'su'you
薄荷油	bo'he'you
保和丸	bao'he'wan
宝咳宁颗粒	bao'ke'ning'ke'li
北沙参	bei'sha'shen
扁蓄	bian'xu
合成龙脑	he'cheng'long'nao
参精止渴丸	shen'jing'zhi'ke'wan
降糖丸	jiang'tang'wan
参茸白凤丸	shen'rong'bai'feng'wan
参茸保胎丸	shen'rong'bao'tai'wan
参茸固本片	shen'rong'gu'ben'pian
参苏丸	shen'su'wan
参芪五味子片	shen'qi'wu'wei'zi'pian
参苓白术散	shen'ling'bai'zhu'san
蚕蛾公补片	can'e'gong'bu'pian
苍术	cang'zhu
草乌叶	cao'wu'ye
侧柏叶	ce'bai'ye
柴胡	chai'hu
柴胡口服液	chai'hu'kou'fu'ye
柴胡舒肝丸	chai'hu'shu'gan'wan
肠胃宁片	chang'wei'ning'pian
车前草	che'qian'cao
车前子	che'qian'zi
赤芍	chi'shao
赤石脂	chi'shi'zhi
虫白蜡	chong'bai'la
川贝枇杷糖浆	chuan'bei'pi'pa'tang'jiang
川芎茶调散	chuan'xiong'cha'tiao'san
川芎茶调丸	chuan'xiong'cha'tiao'wan
磁石	ci'shi
催汤丸	cui'tang'wan
大补阴丸	da'bu'yin'wan
大腹皮	da'fu'pi
大黄	da'huang
大黄蟅虫丸	da'huang'zhe'chong'wan
大黄流浸膏	da'huang'liu'jing'gao
大黄清胃丸	da'huang'qing'wei'wan
大蓟	da'ji
大蓟炭	da'ji'tan
大青叶	da'qing'ye
大山楂丸	da'shan'zha'wan
大血藤	da'xue'teng
大枣	da'zao
丹参	dan'shen
丹参片	dan'shen'pian
胆红素	dan'hong'su
胆乐胶囊	dan'le'jiao'nang
胆南星	dan'nan'xing
胆宁片	dan'ning'pian
淡竹叶	dan'zhu'ye
当归	dang'gui
当归流浸膏	dang'gui'liu'jing'ao
当归龙荟丸	dang'gui'long'hui'wan
当归养血丸	dang'gui'yang'xue'wan
党参	dang'shen
地奥心血康	di'ao'xin'xue'kang
地奥心血康胶囊	di'ao'xin'xue'kang'jiao'nang
地枫皮	di'feng'pi
地肤子	di'fu'zi
地骨皮	di'gu'pi
地黄	di'huang
地锦草	di'jin'cao
地龙	di'long
地榆	di'yu
颠茄草	dian'qie'cao
颠茄浸膏	dian'qie'jing'ao
颠茄流浸膏	dian'qie'liu'jing'ao
颠茄片	dian'qie'pian
颠茄酊	dian'qie'ding
调经促孕丸	tiao'jing'cu'yun'wan
丁公藤	ding'gong'teng
丁香	ding'xiang
丁香罗勒油	ding'xiang'luo'le'you
冬虫夏草	dong'chong'xia'cao
杜仲叶	du'zhong'ye
鹅不食草	e'bu'shi'cao
二丁颗粒	er'ding'ke'li
二十五味松石丸	er'shi'wu'wei'song'shi'wan
番泻叶	fan'xie'ye
蜂蜡	feng'la
风寒咳嗽颗粒	feng'han'ke'sou'ke'li
冯了性风湿跌打药酒	feng'liao'xing'feng'shi'die'da'yao'jiu
佛手	fo'shou
复方醋酸地塞米松乳膏	fu'fang'cu'suan'di'sai'mi'song'ru'gao
复方丹参滴丸	fu'fang'dan'shen'di'wan
复方丹参片	fu'fang'dan'shen'pian
复方扶芳藤合剂	fu'fang'fu'fang'teng'he'ji
复合胆红素钙	fu'he'dan'hong'su'gai
妇科调经片	fu'ke'tiao'jing'pian
感冒清热颗粒	gan'mao'qing're'ke'li
感冒舒颗粒	gan'mao'shu'ke'li
感冒退热颗粒	gan'mao'tui're'ke'li
蛤壳	ge'ke
蛤蚧	ge'jie
蛤蚧定喘丸	ge'jie'ding'chuan'wan
宫血宁胶囊	gong'xue'ning'jiao'nang
谷精草	gu'jing'cao
谷芽	gu'ya
固本咳喘片	gu'ben'ke'chuan'pian
关黄柏	guan'huang'bo
冠心丹参胶囊	guan'xin'dan'shen'jiao'nang
冠心丹参片	guan'xin'dan'shen'pian
冠心苏合丸	guan'xin'su'he'wan
贯叶金丝桃	guan'ye'jin'si'tao
广金钱草	guang'jin'qian'cao
广枣	guang'zao
广藿香	guang'huo'xiang
广藿香油	guang'huo'xiang'you
归脾丸	gui'pi'wan
归芍地黄丸	gui'shao'di'huang'wan
龟甲	gui'jia
龟甲胶	gui'jia'jiao
龟龄集	gui'ling'ji
龟鹿补肾丸	gui'lu'bu'shen'wan
桂附地黄丸	gui'fu'di'huang'wan
桂龙咳喘宁胶囊	gui'long'ke'chuan'ning'jiao'nang
海螵蛸	hai'piao'xiao
荷叶	he'ye
荷叶丸	he'ye'wan
核桃仁	he'tao'ren
合欢花	he'huan'hua
合欢皮	he'huan'pi
河车大造丸	he'che'da'zao'wan
黑种草子	hei'zhong'cao'zi
红参	hong'shen
红大戟	hong'da'ji
红豆蔻	hong'dou'kou
红粉	hong'fen
红花	hong'hua
